,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,BETTER OFF DEAD,spotify:track:7MPxEoT36YBCDbrk3ng85S,BETTER OFF DEAD,spotify:track:7MPxEoT36YBCDbrk3ng85S,155673,True,Tell Me About Tomorrow,64
1,失眠飞行,spotify:track:7zQ7NifJc7NaThkmPJSZdZ,失眠飞行,spotify:track:7zQ7NifJc7NaThkmPJSZdZ,207157,False,失眠飞行,58
2,blue,spotify:track:21yCOhgaDMc0KEtxhZHTbI,blue,spotify:track:21yCOhgaDMc0KEtxhZHTbI,178600,False,bandaids,66
3,Can We Pretend That We’re Good?,spotify:track:2xMvDsq9CzHSAbytPmZawf,Can We Pretend That We’re Good?,spotify:track:2xMvDsq9CzHSAbytPmZawf,163485,False,Can We Pretend That We’re Good?,63
4,TONIGHT (feat. iann dior),spotify:track:0zf4S7JGIW0V9tRegfNidB,TONIGHT (feat. iann dior),spotify:track:0zf4S7JGIW0V9tRegfNidB,135572,False,Tell Me About Tomorrow,58
5,2 soon,spotify:track:5SlU0Yhi51jobhEiGE4xDv,2 soon,spotify:track:5SlU0Yhi51jobhEiGE4xDv,206511,True,2 soon,72
6,it's quiet in beverly hills,spotify:track:07qfW7bs744QbhtWXZ5ADU,it's quiet in beverly hills,spotify:track:07qfW7bs744QbhtWXZ5ADU,156755,True,weird!,47
7,ANGELS & DEMONS,spotify:track:3mkz6eI4Sram8UhO3teU76,ANGELS & DEMONS,spotify:track:3mkz6eI4Sram8UhO3teU76,160119,True,Tell Me About Tomorrow,67
8,2021,spotify:track:5DlXq40tjFwd3SFp55AfKp,2021,spotify:track:5DlXq40tjFwd3SFp55AfKp,195952,False,2021,45
9,"If I Don't Laugh, I'll Cry",spotify:track:7a4YwlUER1m7rkWJjYJRAD,"If I Don't Laugh, I'll Cry",spotify:track:7a4YwlUER1m7rkWJjYJRAD,198009,False,"If I Don't Laugh, I'll Cry",71
10,cotton candy,spotify:track:5lVZiDONIcGowIOetTZ4ps,cotton candy,spotify:track:5lVZiDONIcGowIOetTZ4ps,167365,False,weird!,61
11,Celestial,spotify:track:4zrKN5Sv8JS5mqnbVcsul7,Celestial,spotify:track:4zrKN5Sv8JS5mqnbVcsul7,209026,False,Celestial,85
12,All 4 Nothing (I'm So In Love),spotify:track:21AziTMaZwcLflGMAj85o5,All 4 Nothing (I'm So In Love),spotify:track:21AziTMaZwcLflGMAj85o5,183014,False,All 4 Nothing (I'm So In Love),71
13,Peter Pan Was Right,spotify:track:2At18rPHOuTEjGEppwGV0A,Peter Pan Was Right,spotify:track:2At18rPHOuTEjGEppwGV0A,192497,False,Peter Pan Was Right,73
14,Smells Like Me,spotify:track:6LXIhiXK8z1KLd3giR904b,Smells Like Me,spotify:track:6LXIhiXK8z1KLd3giR904b,204079,False,Smells Like Me,74
15,uh oh,spotify:track:6qmvAJSUfVGMubvI2awW7p,uh oh,spotify:track:6qmvAJSUfVGMubvI2awW7p,169721,False,uh oh,81
16,"don't sleep, repeat (feat. Machine Gun Kelly)",spotify:track:2qtqIinDwJQzsUofMtkH0D,"don't sleep, repeat (feat. Machine Gun Kelly)",spotify:track:2qtqIinDwJQzsUofMtkH0D,149160,True,"don't sleep, repeat (feat. Machine Gun Kelly)",69
17,Woke Up in Love,spotify:track:21H0pUV2uPIPcFnFhgTBjo,Woke Up in Love,spotify:track:21H0pUV2uPIPcFnFhgTBjo,216873,False,Woke Up in Love,80
18,High On Life (feat. Bonn),spotify:track:4ut5G4rgB1ClpMTMfjoIuy,High On Life (feat. Bonn),spotify:track:4ut5G4rgB1ClpMTMfjoIuy,230761,False,High On Life (feat. Bonn),71
19,One Day (feat. Nameless),spotify:track:36Y2yvl6AA54CvuZQbBcsX,One Day (feat. Nameless),spotify:track:36Y2yvl6AA54CvuZQbBcsX,207840,False,Listen Up! The Official 2010 FIFA World Cup Album,31
20,Mad,spotify:track:3M01ewRy7GgG7JkSjy9EqN,Mad,spotify:track:3M01ewRy7GgG7JkSjy9EqN,145488,False,YUNGBLUD,56
21,fuilu,spotify:track:4fl06NNTcLLXG7XgsxLFki,fuilu,spotify:track:4fl06NNTcLLXG7XgsxLFki,177621,True,in loving memory,57
22,Love Is Gone - Acoustic,spotify:track:7F1CiKqrY44kh5cDqwHOnx,Love Is Gone - Acoustic,spotify:track:7F1CiKqrY44kh5cDqwHOnx,176971,False,Love Is Gone (Acoustic),79
23,Just Friends,spotify:track:0tjYK2gtxo8fT2kdD4XGeF,Just Friends,spotify:track:0tjYK2gtxo8fT2kdD4XGeF,155648,False,Just Friends,66
24,Kids Are Born Stars,spotify:track:2pD74s7WAlBWUXjrTsKgdS,Kids Are Born Stars,spotify:track:2pD74s7WAlBWUXjrTsKgdS,187026,False,Kids Are Born Stars,64
25,Trying My Best,spotify:track:6hjh2phISvfR1Ib6S0FK7b,Trying My Best,spotify:track:6hjh2phISvfR1Ib6S0FK7b,222467,False,Songs I Wrote in My Bedroom,67
26,As I Am (feat. Khalid),spotify:track:4MmMxyew8yq1OEyJOMaX6M,As I Am (feat. Khalid),spotify:track:4MmMxyew8yq1OEyJOMaX6M,174406,False,Justice,63
27,the idea,spotify:track:5DUgpa3TrMXqUy5lvV5XT2,the idea,spotify:track:5DUgpa3TrMXqUy5lvV5XT2,204642,False,in loving memory,62
28,STAY (with Justin Bieber),spotify:track:5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),spotify:track:5HCyWlXZPP0y6Gqq8TgA20,141805,True,STAY (with Justin Bieber),89
29,Dive,spotify:track:2aXC0fD6qziwlOZZqhCqTd,Dive,spotify:track:2aXC0fD6qziwlOZZqhCqTd,164490,False,Dive,74
30,Let Me Down Easy (Lie),spotify:track:4w9qnwPPJRWPOw6DHhNtIc,Let Me Down Easy (Lie),spotify:track:4w9qnwPPJRWPOw6DHhNtIc,151414,True,Let Me Down Easy (Lie),63
31,she's all i wanna be,spotify:track:0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,spotify:track:0IuVhCflrQPMGRrOyoY5RW,206772,False,she's all i wanna be,79
32,Give Me Your Forever,spotify:track:4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,spotify:track:4mzP5mHkRvGxdhdGdAH7EJ,244800,False,Episode,74
33,you! - live from The Forum,spotify:track:5MXKRg9njZ5jaaT3CBwUuZ,you! - live from The Forum,spotify:track:5MXKRg9njZ5jaaT3CBwUuZ,314000,False,live from The Forum,41
34,acting like that (feat. Machine Gun Kelly),spotify:track:6PxNpy8jOjyZ8aGCD58LpW,acting like that (feat. Machine Gun Kelly),spotify:track:6PxNpy8jOjyZ8aGCD58LpW,191066,True,acting like that (feat. Machine Gun Kelly),58
35,夜空中最亮的星,spotify:track:7mP4bBFQgt6B3sJfqkIzt2,夜空中最亮的星,spotify:track:7mP4bBFQgt6B3sJfqkIzt2,252253,False,世界,58
36,ex i never had,spotify:track:1NAyq9TrQIpLHWStUX4xAQ,ex i never had,spotify:track:1NAyq9TrQIpLHWStUX4xAQ,201442,False,gg bb xx,65
37,colorblind,spotify:track:4o3XxiQ9BljY4OU38zanC0,colorblind,spotify:track:4o3XxiQ9BljY4OU38zanC0,193976,False,colorblind,70
38,carpool,spotify:track:1nfYgAwhHh37Kl6Z0YQf7Q,carpool,spotify:track:1nfYgAwhHh37Kl6Z0YQf7Q,164665,False,tendency to be a loner,56
39,First Time,spotify:track:2eFjKl5cyPPYElDByCh6Tb,First Time,spotify:track:2eFjKl5cyPPYElDByCh6Tb,165779,False,First Time,62
40,8 Letters,spotify:track:4zRZAmBQP8vhNPf9i9opXt,8 Letters,spotify:track:4zRZAmBQP8vhNPf9i9opXt,190026,False,8 Letters,74
41,up to me,spotify:track:5pbQaprwbDRlzXBo8xVnCo,up to me,spotify:track:5pbQaprwbDRlzXBo8xVnCo,167960,False,up to me / dna [demo],53
42,Hurtless,spotify:track:6HJizCbaqaEQG1eLjn341Z,Hurtless,spotify:track:6HJizCbaqaEQG1eLjn341Z,180274,False,Hurtless,74
43,Love Back,spotify:track:7weX6syqklVQocpVVmDNwI,Love Back,spotify:track:7weX6syqklVQocpVVmDNwI,185850,False,Love Back,67
44,Looks Like Me,spotify:track:6o8tRLnKNSVoBHCTfiFdBA,Looks Like Me,spotify:track:6o8tRLnKNSVoBHCTfiFdBA,190527,False,Looks Like Me,70
45,Earth,spotify:track:2S1LebN6AXXQqJolBxlWgO,Earth,spotify:track:2S1LebN6AXXQqJolBxlWgO,281500,True,Earth,63
46,"never mind, let's break up",spotify:track:3kf1jwKLPepnkPhXsb4etn,"never mind, let's break up",spotify:track:3kf1jwKLPepnkPhXsb4etn,162316,False,gg bb xx (deluxe),45
47,Come to Your Senses,spotify:track:5EDz9U8TS0spv8IH5sGHLw,Come to Your Senses,spotify:track:5EDz9U8TS0spv8IH5sGHLw,267847,False,"tick, tick... BOOM! (Soundtrack from the Netflix Film)",57
48,Next To You (feat. Justin Bieber),spotify:track:7gd01LMH2gBcoDngSt8sq9,Next To You (feat. Justin Bieber),spotify:track:7gd01LMH2gBcoDngSt8sq9,265813,False,F.A.M.E. (Expanded Edition),70
49,How Do I Say Goodbye,spotify:track:5hnGrTBaEsdukpDF6aZg8a,How Do I Say Goodbye,spotify:track:5hnGrTBaEsdukpDF6aZg8a,163603,False,How Do I Say Goodbye,86
50,2 soon,spotify:track:5SlU0Yhi51jobhEiGE4xDv,2 soon,spotify:track:5SlU0Yhi51jobhEiGE4xDv,206511,True,2 soon,72
51,cotton candy,spotify:track:5lVZiDONIcGowIOetTZ4ps,cotton candy,spotify:track:5lVZiDONIcGowIOetTZ4ps,167365,False,weird!,61
52,"If I Don't Laugh, I'll Cry",spotify:track:7a4YwlUER1m7rkWJjYJRAD,"If I Don't Laugh, I'll Cry",spotify:track:7a4YwlUER1m7rkWJjYJRAD,198009,False,"If I Don't Laugh, I'll Cry",71
53,All 4 Nothing (I'm So In Love),spotify:track:21AziTMaZwcLflGMAj85o5,All 4 Nothing (I'm So In Love),spotify:track:21AziTMaZwcLflGMAj85o5,183014,False,All 4 Nothing (I'm So In Love),71
54,Ross And Rachel,spotify:track:4vCiNW18AyeaUAZosVnX61,Ross And Rachel,spotify:track:4vCiNW18AyeaUAZosVnX61,192980,False,Silver Lining II,60
55,BETTER OFF DEAD,spotify:track:7MPxEoT36YBCDbrk3ng85S,BETTER OFF DEAD,spotify:track:7MPxEoT36YBCDbrk3ng85S,155673,True,Tell Me About Tomorrow,64
56,How Do You Love Somebody,spotify:track:4j5gXarJqoiwh4ZIAqZcmh,How Do You Love Somebody,spotify:track:4j5gXarJqoiwh4ZIAqZcmh,180065,True,How Do You Love Somebody,68
57,Just Friends,spotify:track:0tjYK2gtxo8fT2kdD4XGeF,Just Friends,spotify:track:0tjYK2gtxo8fT2kdD4XGeF,155648,False,Just Friends,66
58,Monsters,spotify:track:05Kms0excTlHRel656GZ3U,Monsters,spotify:track:05Kms0excTlHRel656GZ3U,217840,False,Monsters,64
59,Sunroof,spotify:track:4h4QlmocP3IuwYEj2j14p8,Sunroof,spotify:track:4h4QlmocP3IuwYEj2j14p8,163025,False,Sunroof,92
60,carpool,spotify:track:1nfYgAwhHh37Kl6Z0YQf7Q,carpool,spotify:track:1nfYgAwhHh37Kl6Z0YQf7Q,164665,False,tendency to be a loner,56
61,Peter Pan Was Right,spotify:track:2At18rPHOuTEjGEppwGV0A,Peter Pan Was Right,spotify:track:2At18rPHOuTEjGEppwGV0A,192497,False,Peter Pan Was Right,73
62,Lost Without You (with Dean Lewis),spotify:track:1eGW1YBT17a5G1hKPWrpW7,Lost Without You (with Dean Lewis),spotify:track:1eGW1YBT17a5G1hKPWrpW7,203609,False,Lost Without You (with Dean Lewis),75
63,Hurtless,spotify:track:6HJizCbaqaEQG1eLjn341Z,Hurtless,spotify:track:6HJizCbaqaEQG1eLjn341Z,180274,False,Hurtless,74
64,Dive,spotify:track:2aXC0fD6qziwlOZZqhCqTd,Dive,spotify:track:2aXC0fD6qziwlOZZqhCqTd,164490,False,Dive,74
65,Thousand Miles,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,Thousand Miles,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,164781,True,Thousand Miles,81
66,it's quiet in beverly hills,spotify:track:07qfW7bs744QbhtWXZ5ADU,it's quiet in beverly hills,spotify:track:07qfW7bs744QbhtWXZ5ADU,156755,True,weird!,47
67,ex i never had,spotify:track:1NAyq9TrQIpLHWStUX4xAQ,ex i never had,spotify:track:1NAyq9TrQIpLHWStUX4xAQ,201442,False,gg bb xx,65
68,Love Is Gone - Acoustic,spotify:track:7F1CiKqrY44kh5cDqwHOnx,Love Is Gone - Acoustic,spotify:track:7F1CiKqrY44kh5cDqwHOnx,176971,False,Love Is Gone (Acoustic),79
69,you! - live from The Forum,spotify:track:5MXKRg9njZ5jaaT3CBwUuZ,you! - live from The Forum,spotify:track:5MXKRg9njZ5jaaT3CBwUuZ,314000,False,live from The Forum,41
70,fuilu,spotify:track:4fl06NNTcLLXG7XgsxLFki,fuilu,spotify:track:4fl06NNTcLLXG7XgsxLFki,177621,True,in loving memory,57
71,Left and Right (Feat. Jung Kook of BTS),spotify:track:0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),spotify:track:0mBP9X2gPCuapvpZ7TGDk3,154486,False,Left and Right (Feat. Jung Kook of BTS),92
72,Be Alright,spotify:track:5qrSlOut2rNAWv3ubArkNy,Be Alright,spotify:track:5qrSlOut2rNAWv3ubArkNy,196493,True,A Place We Knew,78
73,STAY (with Justin Bieber),spotify:track:5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),spotify:track:5HCyWlXZPP0y6Gqq8TgA20,141805,True,STAY (with Justin Bieber),89
74,Never Really Loved Me (with Dean Lewis),spotify:track:1O73ZKgl0THUImkHW6dfAL,Never Really Loved Me (with Dean Lewis),spotify:track:1O73ZKgl0THUImkHW6dfAL,202158,False,Never Really Loved Me (with Dean Lewis),73
75,colorblind,spotify:track:4o3XxiQ9BljY4OU38zanC0,colorblind,spotify:track:4o3XxiQ9BljY4OU38zanC0,193976,False,colorblind,70
76,Automatic (feat. Jake Miller),spotify:track:6FoUUkUM4fVdh5pLZyxgjz,Automatic (feat. Jake Miller),spotify:track:6FoUUkUM4fVdh5pLZyxgjz,157472,True,Automatic (feat. Jake Miller),68
77,Can't Do Better,spotify:track:7t9gDWqX10tbhtriPR1Cnd,Can't Do Better,spotify:track:7t9gDWqX10tbhtriPR1Cnd,188616,False,Can't Do Better,66
78,失眠飞行,spotify:track:7zQ7NifJc7NaThkmPJSZdZ,失眠飞行,spotify:track:7zQ7NifJc7NaThkmPJSZdZ,207157,False,失眠飞行,58
79,Smells Like Me,spotify:track:6LXIhiXK8z1KLd3giR904b,Smells Like Me,spotify:track:6LXIhiXK8z1KLd3giR904b,204079,False,Smells Like Me,74
80,Woke Up in Love,spotify:track:21H0pUV2uPIPcFnFhgTBjo,Woke Up in Love,spotify:track:21H0pUV2uPIPcFnFhgTBjo,216873,False,Woke Up in Love,80
81,No Sleep (feat. Bonn),spotify:track:1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),spotify:track:1ahVFh0ViDZr8LvkEVlq3B,207094,False,No Sleep (feat. Bonn),63
82,Unloving You,spotify:track:2w9nvs1ByWUGkED4M0ug34,Unloving You,spotify:track:2w9nvs1ByWUGkED4M0ug34,153863,False,Unloving You,68
83,I Love U,spotify:track:3MJE5DoCeAWP7cDbW9Hgm5,I Love U,spotify:track:3MJE5DoCeAWP7cDbW9Hgm5,185522,False,So Far So Good,50
84,As I Am (feat. Khalid),spotify:track:4MmMxyew8yq1OEyJOMaX6M,As I Am (feat. Khalid),spotify:track:4MmMxyew8yq1OEyJOMaX6M,174406,False,Justice,63
85,Give Me Your Forever,spotify:track:4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,spotify:track:4mzP5mHkRvGxdhdGdAH7EJ,244800,False,Episode,74
86,Let Me Down Easy (Lie),spotify:track:4w9qnwPPJRWPOw6DHhNtIc,Let Me Down Easy (Lie),spotify:track:4w9qnwPPJRWPOw6DHhNtIc,151414,True,Let Me Down Easy (Lie),63
87,Young Dumb & Broke,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,202546,False,American Teen,80
88,Young & Alive,spotify:track:5RsKelNxucrDxgMbZ3vd3W,Young & Alive,spotify:track:5RsKelNxucrDxgMbZ3vd3W,160465,True,Young & Alive,64
89,you!,spotify:track:2VMhO32IsyhshnUoKhjCBE,you!,spotify:track:2VMhO32IsyhshnUoKhjCBE,274013,False,mama's boy (deluxe),54
90,Don’t Wake Me Up,spotify:track:3LEgGAl9zLcQWGTp7ptqtQ,Don’t Wake Me Up,spotify:track:3LEgGAl9zLcQWGTp7ptqtQ,188894,False,Don’t Wake Me Up,76
91,One Day (feat. Nameless),spotify:track:36Y2yvl6AA54CvuZQbBcsX,One Day (feat. Nameless),spotify:track:36Y2yvl6AA54CvuZQbBcsX,207840,False,Listen Up! The Official 2010 FIFA World Cup Album,31
92,Try Again (feat. Lauv),spotify:track:0DHh3p0g7qmNNfNdRNwL6N,Try Again (feat. Lauv),spotify:track:0DHh3p0g7qmNNfNdRNwL6N,189076,False,Try Again (feat. Lauv),57
93,blue,spotify:track:21yCOhgaDMc0KEtxhZHTbI,blue,spotify:track:21yCOhgaDMc0KEtxhZHTbI,178600,False,bandaids,66
94,First Time,spotify:track:2eFjKl5cyPPYElDByCh6Tb,First Time,spotify:track:2eFjKl5cyPPYElDByCh6Tb,165779,False,First Time,62
95,Live Fast Die Numb,spotify:track:10omO03JNpJwhjo538gdNc,Live Fast Die Numb,spotify:track:10omO03JNpJwhjo538gdNc,134498,True,Live Fast Die Numb,63
96,ilu,spotify:track:5IEi6RGx2FaJGtmsrkbpgp,ilu,spotify:track:5IEi6RGx2FaJGtmsrkbpgp,169846,False,ilu,59
97,"don't sleep, repeat (feat. Machine Gun Kelly)",spotify:track:2qtqIinDwJQzsUofMtkH0D,"don't sleep, repeat (feat. Machine Gun Kelly)",spotify:track:2qtqIinDwJQzsUofMtkH0D,149160,True,"don't sleep, repeat (feat. Machine Gun Kelly)",69
98,Thick And Thin,spotify:track:3D110t9ctcoOoylXsc3iR8,Thick And Thin,spotify:track:3D110t9ctcoOoylXsc3iR8,212002,False,Malibu Nights,67
99,I Miss You,spotify:track:1Hi6VTm6LFomXn6QlVNXYn,I Miss You,spotify:track:1Hi6VTm6LFomXn6QlVNXYn,153626,True,Dandelions,29
